id,actval,predval
7222864,1.463006,0.72495914
8101141,2.840231,3.1166599
1010083,3.363871,2.9721112
2012343,1.15584,3.0331001
4117957,0.76336,1.1229603
1508409,2.199,3.5232596
7024287,0.578884,2.4140675
1509922,1.6710920000000002,1.7465719
1524259,1.770712,2.7573366
1510376,2.962098,1.9931216
1518606,3.555796,3.94629
7017956,4.554208,2.0666678
1527143,1.943431,1.8584176
1510401,3.414239,3.8211708
7221466,2.2123009999999996,1.5304871
9005866,3.14211,2.3957453
1510581,2.571088,2.5987568
1526955,1.208446,1.2962148
1530203,3.255119,3.5199153
1528740,1.2779,2.7354147
1537549,0.991545,1.7274098
1524260,1.856137,2.097156
4027812,2.736992,2.1815255
1528327,1.633189,2.2016497
9016517,0.719151,1.0948676
9004677,2.547029,2.9051661
1005039,1.4774180000000001,3.4098778
2106603,3.118025,2.841988
9008211,2.650479,2.9879813
1521260,2.819274,2.4445083
1537490,1.395464,2.8960657
1011380,1.239548,3.0469542
1010044,6.558758,4.1946645
1539131,1.827933,1.8735958
1010268,3.993066,2.4608054
4124697,2.488397,4.5223427
8102966,3.016146,4.0088053
9003635,4.022595,3.2986631
1539688,1.3311259999999998,1.6146057
4343623,3.802825,2.9188204
1510061,0.05690699999999982,1.2060697
2106695,2.665156,4.1106086
7221368,1.314057,1.4165709
2000322,3.759372,3.19945
4321149,0.5213580000000002,1.2688792
2020356,5.7457080000000005,4.0903125
1509263,3.194673,2.187693
1530292,4.92134,1.8680173
2009420,4.042344,3.2701073
1532749,2.683472,3.5210996
1541097,3.192664,2.6192768
4329156,0.800007,3.1545582
1539109,0.492441,2.5626838
2001128,2.489682,2.7293725
2107325,2.01196,1.6423987
1001751,4.236298,2.361999
1527692,2.849834,2.4407485
4334785,2.429762,1.938755
1540874,2.157612,1.895138
1528588,2.965037,2.801911
1539958,3.235485,3.1809144
2227193,4.555531,3.1976624
2104833,7.370875,4.012542
8104257,4.079963,1.0297861
1528373,2.766638,2.575736
9009497,7.135643,1.3374611
1010508,1.453064,1.1388068
2016941,3.557084,2.961652
1544359,5.377624,1.9802841
9008680,4.854205,0.911695
1525845,4.041413,4.197507
1530029,6.900018,4.0233192
1531986,0.165034,0.51268554
1538427,1.144427,1.0587339
1010501,2.942779,2.1434066
4000659,0.582873,0.51959777
1514083,4.204641,2.860648
4319064,2.535538,2.3415046
1524206,2.587788,3.2065425
1001224,4.005346,3.7851439
1527982,4.510566,2.7218442
1509692,1.776609,2.15208
1008953,3.85108,2.4609475
8103909,1.042108,3.4915538
2002215,2.730083,1.8853899
9013923,2.931577,0.734128
4316137,3.210461,4.135031
2102582,2.52756,2.7269435
1539294,3.496699,1.6089829
1514100,1.427129,3.249183
2105390,2.330739,2.9224582
1536073,3.164112,2.4357755
1534448,2.899101,3.9319406
1534578,3.497856,2.5132344
2018866,2.040331,3.227073
