id,actval,predval
4117897_macro,4.251883,2.7294369
7154039_macro,3.467795,2.9086215
7204545_macro,2.70114,3.579679
2239155_macro,2.846271,2.515172
7219807_macro,2.45012,2.4994712
2011801_macro,3.09199,2.7347164
4026133_macro,2.832062,3.160376
7201772_macro,3.008781,3.2070022
2008468_macro,2.177122,2.7303262
4078010_macro,4.014327,3.6532233
2014982_macro,3.689896,2.7669568
4506803_macro,1.777168,2.441486
2210939_macro,3.123727,3.3931596
2103725_macro,2.393668,3.7312858
1516365_macro,2.241286,2.2753572
4315561_macro,2.164404,2.5456276
4082105_macro,2.648127,3.2504365
4077285_macro,1.7312269999999998,2.7669783
7152263_macro,2.200372,2.2675054
4022530_macro,1.66051,3.3487928
2220345_macro,2.1775710000000004,3.313582
2230366_macro,2.021218,2.4624949
7150807_macro,3.295296,2.1929758
4101208_macro,3.855764,4.0705814
2005486_macro,3.859843,2.7772
4029241_macro,2.9681500000000005,3.492955
7150550_macro,3.444688,2.5347412
2227127_macro,3.600581,3.8216825
7203686_macro,2.309199,2.4122505
4125172_macro,2.552064,2.2872257
4509153_macro,3.214202,2.8826046
2009608_macro,3.7426120000000003,2.8053498
7153423_macro,1.892966,2.1882942
7214407_macro,2.884247,2.8466716
2206518_macro,4.183376,3.2366586
1501932_macro,3.006342,3.126338
7150169_macro,3.2473340000000004,2.7647562
2010023_macro,1.884989,2.6024342
4022665_macro,3.912405,3.4875484
4020804_macro,4.085476,3.7362728
7152486_macro,2.3823930000000004,2.4025214
2100168_macro,4.429081,4.3284597
2201781_macro,3.206159,3.1884394
7213528_macro,3.293137,2.9534986
2216937_macro,2.258584,2.6269867
7214507_macro,2.54711,2.6873355
4101890_macro,3.517128,3.6928658
7007667_macro,3.885921,3.4223359
1506107_macro,3.810694,3.417467
4027030_macro,6.0360239999999985,4.005371
4500319_macro,3.655704,2.8860316
8100793_macro,3.331288,2.510646
2200670_macro,3.743107,4.4552193
1506009_macro,2.3161370000000003,2.8258448
2222184_macro,2.431042,2.0493164
7100391_macro,3.491658,2.9915705
2222226_macro,3.005428,2.8328938
4077945_macro,1.0323130000000005,2.684143
7105484_macro,1.412877,2.433168
2003335_macro,0.8289489999999999,2.6748557
4026719_macro,1.960384,2.7255988
2101832_macro,3.088677000000001,4.535417
1502049_macro,4.324944,3.3525107
2226942_macro,2.361915,3.092883
4023305_macro,3.564628,2.4675193
2220374_macro,2.398755,3.4041696
4021846_macro,3.925599,2.901319
4027300_macro,3.201498,3.0433595
4070390_macro,2.8963270000000003,2.5623791
7225141_macro,3.1429979999999995,2.5202594
2001615_macro,4.547974,4.365485
7111934_macro,2.649624,3.1694067
4512707_macro,0.5806100000000001,1.6643835
7111130_macro,2.532157,3.9775848
7152454_macro,3.165357,3.762689
4030467_macro,3.124406,3.1868043
4111858_macro,2.0794739999999994,2.623633
4028277_macro,3.710553,2.919208
7050421_macro,2.883319,2.4062223
7207595_macro,2.794085,1.8063421
4062899_macro,3.5155769999999995,2.3351202
4025432_macro,3.4893730000000005,2.815887
7209109_macro,2.00027,1.8816172
4075236_macro,2.666492,2.8950367
7052840_macro,3.408672,3.2209153
4030116_macro,3.50218,3.5824199
1504823_macro,2.327157,2.2658515
2229637_macro,2.533544,2.5157428
4067799_macro,2.98634,2.182458
2224033_macro,3.636089,3.2596114
7108260_macro,3.4519580000000003,2.7017484
4111084_macro,3.39455,2.9986415
1506383_macro,2.8054750000000004,2.911347
4022962_macro,1.566653,2.3301225
2007080_macro,3.322189,3.2389326
2007412_macro,2.682605,2.4778585
2219302_macro,2.940802,2.3011756
4025583_macro,3.48017,3.5404336
1504198_macro,3.49055,3.5297153
2229011_macro,3.146531,2.7167494
1508738_macro,4.1481330000000005,3.7434335
1514242_macro,4.111098999999999,2.5485845
4082586_macro,1.868667,3.2071285
7105122_macro,3.354799,3.409828
1518008_macro,1.07971,1.779884
2236997_macro,2.794226,3.2837942
2003834_macro,1.683395,2.405395
2226154_macro,1.712654,2.4911053
1543036_macro,3.057317,3.53508
1504038_macro,2.888466,2.8457265
