id,actval,predval
4074437_macro,2.7876199999999995,2.277563
1507720_macro,3.3351330000000003,2.721294
7215594_macro,2.854547,2.766457
2101963_macro,3.145922000000001,3.1132247
1506234_macro,4.2233350000000005,4.1338606
4027311_macro,2.044549,2.4616592
7151587_macro,4.436907,4.3678885
2015669_macro,3.552425,2.7728307
1100226_macro,4.265579,3.6695104
1517440_macro,3.02491,3.8560138
2101110_macro,3.628589,3.6482365
1508877_macro,2.377199,2.2309926
4105182_macro,4.756951,4.2686224
4026498_macro,3.373563,3.2791219
1503651_macro,3.07836,2.398538
5000009_macro,4.024218,3.2873254
4029009_macro,3.851428,2.8229656
4505800_macro,3.262693,3.2164803
1504750_macro,3.2392130000000003,3.2103565
4020750_macro,2.639452,2.9337926
2015322_macro,4.632069,4.5611415
4508471_macro,3.137848,2.4917564
2213865_macro,2.979973,2.2316263
4507988_macro,3.196991,3.0375977
4028575_macro,2.455839,2.608826
2014887_macro,2.510769,2.772519
2221663_macro,3.464312,2.9281993
2234078_macro,4.06955,3.98792
4065225_macro,2.851697,2.3588178
4067260_macro,1.357004,2.5061255
4312367_macro,2.868892,2.8784947
7203293_macro,1.815351,2.740294
4022345_macro,2.111985,2.266254
4503997_macro,2.739157,2.641368
2001769_macro,5.300108,4.991625
4029462_macro,3.603418,3.827555
7154629_macro,2.660741,2.4280548
2213624_macro,3.826669,3.3109853
4332494_macro,4.7488800000000015,4.169709
7153629_macro,2.871961,2.4614973
7052848_macro,3.445124,3.0442228
7102158_macro,2.359239,2.6267498
2239150_macro,3.499163,3.772061
7220119_macro,1.894035,2.5717845
4025788_macro,1.4345709999999998,2.2319822
4073155_macro,3.276777,3.1290374
4025298_macro,1.388785,1.7392642
4109988_macro,2.725979,2.9579835
4102039_macro,3.29135,2.334312
7221610_macro,1.982146,2.5920563
2224930_macro,3.397648,2.637518
4116372_macro,3.72521,4.394187
1544050_macro,3.1977550000000003,2.6142406
4030997_macro,4.635804,3.9111269
7219318_macro,4.951791,5.3688755
2205500_macro,1.7148729999999999,2.3942232
4026881_macro,3.517442,3.1364763
7150501_macro,2.193471,2.4104176
1501913_macro,3.3405220000000004,2.9702578
7203265_macro,4.6538879999999985,4.5992374
7225353_macro,0.413794,1.6361405
1100529_macro,2.718059,3.1638265
2003370_macro,4.467707000000001,3.758976
2101905_macro,4.0719080000000005,3.985237
7226238_macro,2.192302,2.521856
2101089_macro,2.301009,2.9189658
2208414_macro,3.4235360000000004,3.388443
2015272_macro,2.708896,2.7645257
7150034_macro,4.124868,3.8143125
4025552_macro,4.602848000000002,3.998893
7151815_macro,0.964325,2.9797802
7153982_macro,2.888897,2.5830636
2218183_macro,4.305322,3.1969318
2200321_macro,3.753453,3.449371
7103002_macro,2.236145,2.751122
7154011_macro,1.971778,2.2828774
4080575_macro,3.952073,4.4520817
7208905_macro,1.745683,2.4309256
4077995_macro,2.813317,2.2218692
7105955_macro,3.3587170000000004,3.7905715
2012267_macro,3.622543,3.3435256
2213958_macro,2.615848,3.044675
4020302_macro,3.390563,3.5231228
7155026_macro,3.666658,3.470384
7212126_macro,3.706017,2.5831037
7218766_macro,2.3826720000000003,2.5732107
4504253_macro,2.228511,2.2408023
7154416_macro,3.042078,2.470033
7053128_macro,4.00747,3.8698826
2310123_macro,3.3844449999999995,3.4259143
2207725_macro,2.723086,2.5023198
4073964_macro,3.25063,2.3783789
4025361_macro,3.448356,2.837414
2015077_macro,2.7970490000000003,3.6379347
7150037_macro,3.439849,2.7945762
4115279_macro,4.510354,2.7882075
4031812_macro,3.723754,3.529283
2214759_macro,5.411614,5.2227316
2013814_macro,1.629652,2.165881
4029070_macro,2.807694,2.6646106
7109667_macro,2.511261,2.5390005
7117482_macro,2.7335550000000004,2.0438163
4081667_macro,2.7301450000000003,2.5340295
7053222_macro,2.345088,2.4083104
4107817_macro,1.421995,1.7164093
4021848_macro,2.51685,2.2933805
2241084_macro,2.364401,3.146808
4512799_macro,3.680879,3.1246634
4509412_macro,2.579179,3.7744703
1518263_macro,2.517485,3.1657467
2101976_macro,2.768236,3.1845307
4080105_macro,2.452035,3.0916555
4113216_macro,2.031104,1.9300406
7053095_macro,2.184691,2.9797196
7212665_macro,3.600439,3.055972
4021663_macro,2.7007830000000004,2.9660742
2203126_macro,4.685343,3.8101811
4508439_macro,2.04505,2.1673408
2011375_macro,4.11279,4.0246735
4026754_macro,3.337676,3.223247
1542951_macro,4.22719,3.5577192
7102897_macro,1.947133,2.452804
7214360_macro,3.414969,2.7345145
2006354_macro,3.424214,3.709275
4069142_macro,3.248023,3.7118473
1519905_macro,3.536624,2.844186
2102798_macro,2.754252,2.5594456
2227480_macro,1.6646880000000002,1.8169994
7154724_macro,2.449778,3.3529665
1507463_macro,2.310066,3.1387954
7111201_macro,4.397138,4.176072
7218413_macro,3.333452,2.8268085
2005171_macro,4.802084,4.6267014
7212663_macro,3.3783760000000003,2.3232527
8102103_macro,3.609096,3.8504188
4077966_macro,2.275719,2.8398404
7220022_macro,3.812487,3.3114412
1542891_macro,2.567381,2.8690312
1513955_macro,1.670002,2.452613
1504910_macro,3.761254,3.3775804
7117457_macro,3.307583,2.9853344
4024226_macro,4.017657,3.3603692
2013612_macro,2.83061,2.2099264
4025175_macro,2.495489,2.5693836
7213156_macro,3.265365,2.9822006
1511957_macro,3.545692,3.5143058
4028375_macro,1.982592,2.0054731
1544224_macro,5.74054,4.9675565
4001062_macro,1.229547,2.2641745
4020174_macro,2.744406,3.1611042
2204130_macro,3.1671560000000003,2.4038453
4023085_macro,2.3509080000000004,2.9309416
2202678_macro,2.077485,2.423079
4026407_macro,3.367453,3.1107583
1505114_macro,1.95291,2.3629599
2210951_macro,2.918604,2.3134158
4114247_macro,1.7857779999999999,1.4847794
4502463_macro,3.961762,3.3749356
4020281_macro,2.338267,2.5347567
2209664_macro,1.968294,2.1955197
7150292_macro,3.099197,2.640699
1504948_macro,2.933259,2.2310817
7215124_macro,1.889103,1.7261958
7001656_macro,3.218695,3.423042
2004094_macro,5.466916,5.071652
4067707_macro,2.391728,2.2592368
1502975_macro,1.496204,2.4013147
7153038_macro,3.237523,3.0929813
2226071_macro,1.16214,2.3067713
2209780_macro,3.754821,3.98129
7038911_macro,1.995027,2.4221833
7154804_macro,3.51526,2.6010787
4022633_macro,2.688651,3.333334
2211174_macro,5.089333000000001,3.833758
2006135_macro,3.211415,3.338315
7154609_macro,2.0151320000000004,2.465335
9007519_macro,2.54661,3.2220323
1505509_macro,2.577476,2.5160422
7203481_macro,0.947034,2.1629305
4076911_macro,3.034312,3.0100443
4077787_macro,3.5609660000000005,3.154349
2007153_macro,2.7543450000000003,2.6655488
4117594_macro,4.332093,3.9208384
2008381_macro,3.022318,2.471841
7118331_macro,3.3133220000000003,3.16917
1515617_macro,2.9016330000000004,3.1823535
2103890_macro,4.35358,4.116868
4505816_macro,2.421287,2.6549175
1543862_macro,4.7818760000000005,4.078849
2222930_macro,3.885136,2.8533547
7154331_macro,3.06124,2.2793121
1512367_macro,2.45546,2.5832844
7154084_macro,2.923562,2.6561003
7036058_macro,2.7209710000000005,2.5651026
4071997_macro,2.173603,2.393485
1507617_macro,4.698892000000002,3.8327749
4028256_macro,2.308414,2.3378592
4075640_macro,2.749002,2.3986683
7154922_macro,3.3754790000000003,2.7570233
4505682_macro,2.089256,2.9782293
4020664_macro,3.604717,2.5573945
2212074_macro,4.344851,3.1435933
1540482_macro,3.621206,3.0081825
7017744_macro,3.32989,2.4904199
4075611_macro,1.931371,2.110579
2005354_macro,2.761546,2.6476333
4107219_macro,3.610828,3.0785804
1506095_macro,3.712645,2.6873417
2203109_macro,4.294599,3.9658077
2200227_macro,2.040345,2.5271695
4085650_macro,2.341173,3.134369
2019898_macro,3.3911519999999995,2.8701205
4020276_macro,2.5161620000000005,3.2841988
2008366_macro,2.0678400000000003,2.4791617
7154766_macro,4.135837,3.4419096
4101841_macro,3.074086,2.8527875
7208269_macro,2.653618,2.8037333
1520159_macro,2.758036,3.2149897
1517925_macro,3.214151,3.6459136
2221827_macro,4.1173410000000015,3.2014327
2218833_macro,2.672165,2.4940052
2222407_macro,2.560981,2.3618066
2012991_macro,3.150116,3.2293699
2205224_macro,5.477064,2.6380274
7117624_macro,1.781556,1.6624187
4024035_macro,4.073456,3.5941744
7154938_macro,4.127978,2.9714508
2217771_macro,2.3150470000000003,3.121521
1517801_macro,3.4849270000000003,3.1436946
7216545_macro,3.4889019999999995,3.440032
7218782_macro,2.7612810000000003,3.0148277
7003676_macro,3.194559,3.2378542
4075456_macro,2.5240530000000003,2.3052824
4069120_macro,2.7415130000000003,2.6615124
4102673_macro,3.599308,3.1900206
4335263_macro,2.7653420000000004,2.5030823
8101221_macro,1.25794,1.7232105
2228025_macro,3.2459590000000005,2.3101664
2007015_macro,3.91046,3.4944367
7152830_macro,3.4175760000000004,3.06081
4082698_macro,2.612585,2.5289872
7211302_macro,1.980728,2.512544
2213149_macro,2.363389,2.2117882
7150365_macro,3.90323,3.4066315
7154908_macro,1.914804,2.684208
2226811_macro,3.000309,2.1083617
4513000_macro,5.073673,5.086687
2006748_macro,2.173609,2.3220363
2105586_macro,2.8180000000000005,2.724125
4023913_macro,2.575309,2.2867703
4024218_macro,2.6131290000000003,1.9878335
2201928_macro,2.9484759999999994,3.9193933
7153163_macro,3.0938420000000004,3.1173441
2214780_macro,4.367727,4.1101933
2206112_macro,4.035933999999999,4.2389755
1529280_macro,2.177509,2.587963
2203540_macro,3.660257,2.8889441
4086042_macro,2.9540359999999994,3.5585911
4027840_macro,5.6314129999999984,4.3942785
7207490_macro,3.5464230000000003,2.7092757
2232576_macro,2.063525,2.5095267
4072693_macro,1.998685,2.4609516
7204362_macro,2.179888,2.494432
7152987_macro,4.095791,3.8213325
7219929_macro,4.937056,3.501076
9016039_macro,5.313976,5.572158
2105105_macro,5.127025,5.3435984
2223455_macro,0.18608,2.3619187
4501921_macro,2.805045,2.7071304
1501866_macro,1.466849,2.2866764
2002075_macro,1.883607,2.3230038
7213502_macro,3.352361,3.2142305
4077149_macro,2.4062780000000004,2.2480178
7217714_macro,1.542943,2.348243
7212709_macro,4.935588,4.7759137
1542293_macro,3.432397,2.7556806
7102297_macro,0.6826840000000001,2.2123034
4020047_macro,2.775082,3.7932572
4116150_macro,5.293544,5.3007
1543147_macro,2.904573,3.5456874
1520185_macro,3.600392,3.6220248
2100914_macro,4.265865000000002,3.7648652
4081444_macro,1.905291,2.171009
4122617_macro,2.524163,2.0164552
2004882_macro,3.814245,3.8031073
7053273_macro,2.401928,2.2963476
2223716_macro,3.388965,3.3255575
1508793_macro,2.476313,2.5972073
2103891_macro,4.285459,3.6572576
7153254_macro,4.155594000000002,3.420203
4020820_macro,2.873807,3.574133
2203943_macro,3.309369,3.1311338
7103365_macro,5.080557,4.8610296
4109025_macro,2.688699,2.8220363
2019482_macro,3.907426,3.486872
4023570_macro,1.926714,2.2056139
7154377_macro,4.697733,3.7404935
1503261_macro,2.6739330000000003,2.357263
1512377_macro,3.360606,2.4512005
4023190_macro,2.448145,2.542194
4022041_macro,3.443436,2.8814611
2201329_macro,5.332135,4.0586047
2201974_macro,3.3107660000000005,3.5855615
7150130_macro,3.15864,2.2044778
7151179_macro,3.197046,4.06073
4308614_macro,3.820693,3.6071248
7221735_macro,1.05852,2.0383463
2100385_macro,2.4947310000000003,2.4760737
2234992_macro,1.6091770000000003,2.601532
2002019_macro,2.822302,3.1381707
7155270_macro,3.014167,3.692057
2011562_macro,4.415555,3.4280467
4103805_macro,3.472283,2.7103302
2238090_macro,3.0274080000000003,2.2593307
