id,actval,predval
MIWHUW_FSR,3.1748570000000003,2.3273556
KOLLAZ_FSR,3.024579,2.376996
VAHRON_FSR,3.987031,3.9724555
FUNKUW_FSR,1.581325,2.2102492
FODBOR_FSR,2.9613319999999996,3.0309978
DENVIC_FSR,3.223756,2.8979287
HENRAW_FSR,1.824725,1.9939649
FOXSAN_FSR,2.146705,2.5079513
GOCNOC_FSR,2.19703,2.6821182
ATEMAP_FSR,3.02288,3.3528953
KIVYIY_FSR,1.423929,2.7845404
ZOHBUV_FSR,2.8864520000000002,2.0215085
WEMFIF_FSR,3.1289279999999997,2.8715377
DECFUP_FSR,3.1961280000000003,2.8682694
MINCIX_FSR,2.972724,2.297786
AYOBUN_FSR,2.907569,2.6631892
MERXIR_FSR,3.3056539999999996,2.617638
LAMRUP_FSR,2.873697,2.943043
WONXIH_FSR,1.575304,1.7208263
RAMYAF_FSR,2.32018,2.9691896
ZAWVAW_FSR,2.683694,2.7623446
OFIYUY_FSR,1.5119919999999998,1.5880587
AXOWEQ_FSR,3.716489,2.9452302
AGEZUJ_FSR,2.354564,2.050864
QIMNEH_FSR,4.45535,2.8110027
DIGTOE_FSR,4.263634,3.207232
NUNPOC_FSR,2.37271,2.7980351
TARQIM_FSR,4.469907,2.0636592
COMMUN_FSR,2.41249,2.7132876
DUZPUL_FSR,3.207839,2.4040089
WUTHUO_FSR,1.7459170000000002,2.4588842
RIXDIM_FSR,1.870569,2.123351
MIBQAR01_FSR,3.5518339999999995,2.0596898
KAMBUW_FSR,2.991307,3.536386
CUMJAX_FSR,3.3324930000000004,2.3604538
MUTKIW_FSR,2.63274,2.7180016
FELXEA_FSR,3.859051,3.6293454
RERLAD_FSR,2.728059,2.450122
AZOCUO01_FSR,3.370654,2.7171516
FENBUW_FSR,2.984619,2.4506295
IKEYEE_FSR,2.673449,2.3447742
RURQEB_FSR,3.498694,2.8723776
LARCIR01_FSR,2.425973,2.6084402
ZEZQAY_FSR,2.716654,2.7918448
XILPUE_FSR,4.511151,3.8334947
DEZMUR_FSR,2.310551,2.2099245
ADOPAN_FSR,2.0423020000000003,2.4384577
TAMHOH_FSR,1.753923,2.791494
RIHMIG_FSR,3.351395,2.547873
USEBOK_FSR,3.8390709999999997,1.8947577
GELCOS_FSR,5.121922,2.7380338
UHOTER_FSR,1.213771,2.5525892
ZIHLOU_FSR,2.37789,2.79134
QUZVEO_FSR,2.72512,2.451838
MEYDUP_FSR,4.836337,4.3769836
HATFAM_FSR,2.359326,2.6649883
BADCEQ_FSR,3.178357,2.1384745
CUTVET_FSR,3.20972,3.1926312
BEDNUU_FSR,2.105572,1.6248045
PADKOV_FSR,0.88711,0.76058733
KEMNAT_FSR,2.536106,2.2186887
ETICAN_FSR,2.4989689999999998,2.6759303
ONIHUQ_FSR,2.006822,2.6861682
HUZJUI_FSR,3.565775,3.0671263
EGEBEY_FSR,3.3032920000000003,3.0269165
DEYMEB_FSR,2.818295,2.2508922
BOFKAJ_FSR,1.663367,2.4322119
KIWLOS_FSR,2.260286,2.7001994
FAYQOM01_FSR,2.813486,2.5927393
EMOVIM_FSR,1.4871759999999998,2.6829515
JIPKUP_FSR,4.431787,3.9425073
IPINAY_FSR,1.1132790000000001,3.449544
ZIGQOY_FSR,3.169451,3.0602512
IROROY_FSR,2.114529,2.1219406
ROMTET_FSR,3.086243,2.868495
UYUSAJ_FSR,3.1186279999999997,3.16018
NEPPED_FSR,2.9635629999999997,2.050181
SOCNOP_FSR,2.6190759999999997,2.621257
CEVYIM01_FSR,2.254143,2.0033834
VUYQUC_FSR,3.708793,3.1903508
UZEBAE01_FSR,1.4323510000000006,2.1712854
PEFRAV_FSR,3.327375,2.9922805
QITCIF_FSR,2.373343,2.402319
PAWXUJ_FSR,0.7915509999999999,3.01162
LUYCEN_FSR,1.689624,2.4509692
AHADUI_FSR,2.108443,2.7310524
FODCEI_FSR,2.978313,2.4373107
GUPBEZ01_FSR,2.088416,2.4297335
SAHXEH_FSR,2.948289,2.7851198
BOJYIK_FSR,3.298437,2.5636027
QAWGUT_FSR,1.699299,3.204193
CENSUJ_FSR,2.774486,2.5334094
BUDDIO_FSR,2.6194230000000003,1.807205
BUKDUI_FSR,1.50297,2.5965152
BEGHAZ_FSR,2.887984,1.5182856
JAMLEP_FSR,2.860726,2.8155766
LEDDIJ_FSR,3.066482,3.081348
CUNVAJ_FSR,2.7198649999999995,2.304127
NODQUU_FSR,2.854391,2.3226395
HICRET_FSR,2.468681,2.5623705
VEDBUD_FSR,1.860074,2.1757126
FAMZIE_FSR,4.418103,3.952646
YINVIC_FSR,1.671303,1.9711802
ODAHUY_FSR,4.429015,2.2975802
PESTEO01_FSR,4.108342,4.347581
UNATOT_FSR,2.3301780000000005,1.9746101
CILDAD_FSR,1.4247460000000003,3.7746105
JUCROO_FSR,3.223792,2.3315291
IXIPIQ_FSR,2.99505,2.790002
LEQYEN_FSR,3.804999,2.5316339
WOMCUY_FSR,2.523016,2.8223095
SOFSOW_FSR,4.130396,3.2689927
QIJYEP_FSR,3.294957,3.1758626
NAVRIO_FSR,1.069788,2.4328487
PUPMUJ_FSR,2.7104039999999996,3.948494
MATVEJ_FSR,1.0836489999999999,2.2106962
OFIXOR_FSR,2.730772,1.407511
COPACT02_FSR,1.292062,2.605916
BEZKOI01_FSR,3.402861,2.4563575
SOQDAE_FSR,2.38715,2.9991152
FODROG_FSR,2.441578,2.9568946
KIYMIQ_FSR,2.724056,2.1163125
BARJIO_FSR,3.1362750000000004,2.600743
XEBMOG_FSR,1.0588480000000002,2.0745115
LUHZIY_FSR,4.602551,2.9428053
TUFWUN_FSR,2.6562560000000004,2.6551864
KUNQUH_FSR,2.587839,2.7569373
BEXTIJ_FSR,3.254299,2.3497825
NALFAJ_FSR,3.066497,2.9901805
CEHWUJ_FSR,3.5235819999999998,2.381118
CATPAL03_FSR,3.0690470000000003,2.6967344
FAXQAX_FSR,2.623711,2.4747705
VEWMEP_FSR,4.540973999999999,2.4435062
NEKCIS_FSR,3.0116739999999997,2.5756013
ROKZOI01_FSR,4.216405,2.6853554
MOHSAF01_FSR,2.6958450000000003,3.1987088
POXJAO_FSR,4.5206230000000005,2.6211169
UWUTIQ_FSR,2.533732,1.9921885
BUTYUM_FSR,2.5340860000000003,2.9638522
OJARUO_FSR,2.8473420000000003,2.5122528
ECEDEY_FSR,2.714155,2.4992952
FURSAN_FSR,1.691402,1.513176
DENTEW01_FSR,3.313105,2.4915826
GIWKON_FSR,1.691388,2.187385
DITJEY_FSR,3.008645,3.1421895
MUTJAN_FSR,2.3959029999999997,2.4591393
JICCUW_FSR,1.7533470000000002,2.9861994
MICJUG_FSR,1.820893,2.4470384
GIWFIE_FSR,3.117022,2.4829192
GIWBOF_FSR,2.002564,2.8350399
GONTEK_FSR,3.39985,1.5353996
SACSEV_FSR,1.0153720000000002,2.959084
HUVGEM_FSR,2.997132,2.3080606
LISDAT_FSR,2.9755119999999997,3.0599399
MIHHUG_FSR,2.12911,2.6999245
DEMNOZ_FSR,2.841242,3.102153
GEJBOO_FSR,2.5851450000000002,2.152393
FIVYUF_FSR,2.4207720000000004,1.7190931
SAGKER_FSR,1.947666,2.2903428
LEBGEG_FSR,1.5146510000000002,3.060692
SISLUE_FSR,1.4159700000000002,1.5439848
FEHGUX_FSR,1.704764,2.9087725
VIWNEV_FSR,3.415524,2.290258
JOXPUJ_FSR,1.482573,1.5424621
YEBMOI_FSR,1.1019019999999997,2.5756173
VALXAJ_FSR,2.246582,2.5454586
JUDKIC_FSR,2.97357,3.4422219
NEWCEA_FSR,4.5665960000000005,3.0380461
DAYVEF_FSR,4.21067,2.770819
QUGNOV_FSR,2.508118,2.7529423
UFULEM01_FSR,3.223387,1.8391131
NORHIN_FSR,3.28897,2.824291
YOSLIB01_FSR,1.519221,4.160297
UJINAE_FSR,2.46711,2.6459703
BEHSAL01_FSR,3.015437,2.8401036
DUQVAN01_FSR,2.413479,2.6044252
EHOLET_FSR,3.05615,2.2645905
UYOGEV_FSR,2.474016,2.386114
ESADUZ01_FSR,3.205536,3.1203563
CEVPID01_FSR,1.5985930000000002,1.0328988
DIKPUJ_FSR,2.913765,2.2674153
VATVAO_FSR,1.966529,3.3496113
NEZQER_FSR,2.665819,2.4311254
RATVEP_FSR,2.739688,2.7086742
PUPNAQ_FSR,2.3554429999999997,2.9676867
WOGKOT01_FSR,3.281332,2.957303
MEKDEM_FSR,1.884182,2.6392865
QOPLAI01_FSR,4.597112,2.613644
KUMBUR_FSR,2.9844220000000004,2.5970275
UGUJOW01_FSR,3.5693740000000003,3.580037
KADTIV_FSR,3.5313030000000003,2.9372835
XENRAK_FSR,2.072276,1.7120734
XEDXEM_FSR,3.552325,2.8024838
TUCHEH_FSR,2.960165,2.6112697
FIMJUJ_FSR,1.347504,3.0761425
VEHRIL_FSR,2.1438360000000003,2.4874303
BIYSAE_FSR,3.06391,3.0874286
PUKCUV_FSR,2.46704,2.7804396
BESNET_FSR,2.6782299999999997,2.3318896
ACUBOP_FSR,3.083074,2.4350562
LEPVOT_FSR,2.269203,2.3948536
SEBTEZ_FSR,2.963981,2.3926907
ETUGAD_FSR,2.972883,2.1344666
BAXJIV_FSR,3.446675,3.1854775
KIGLIX_FSR,2.315292,1.4692104
RURKAS_FSR,4.422071,4.1728177
LAGPAM_FSR,3.241065,2.4262843
FIRGIW_FSR,4.742335,2.362154
NAZJUV_FSR,2.832286,2.7698634
HAZZAK_FSR,2.229272,2.3147662
MISLEG_FSR,2.309244,2.7709527
AFAVUA_FSR,4.299316,3.3303914
KIVWAO01_FSR,1.0506859999999998,2.890873
YIWLEY_FSR,2.195707,2.509401
AZNPYD_FSR,2.323686,2.8378854
JIPYEP_FSR,3.626397,3.0719833
QEJCAK_FSR,2.602484,2.7100036
QOPZIF_FSR,3.147874,2.9651685
XOKQUL_FSR,2.055123,2.1424556
NAVFEY_FSR,3.333872,2.9585276
LUPCOQ_FSR,2.87983,2.499161
JIPMEB_FSR,4.155533,3.8748703
GAJWAR_FSR,3.269625,2.3495522
UJUDUY_FSR,1.8220500000000002,2.3174548
BATZON_FSR,0.7103089999999999,2.4322364
XILTOE_FSR,3.1570720000000003,3.1747775
SERCEZ_FSR,2.8661619999999997,2.284122
KOPBIC_FSR,3.504335,1.3373876
XUKXEH_FSR,0.423859,1.408531
RAJFEP_FSR,3.316357,3.6645784
DISBIT_FSR,2.255875,2.59465
CUWRIW_FSR,1.5196429999999999,1.3802502
PEPVEM_FSR,1.2528240000000002,0.99097764
PONSEQ_FSR,4.018833,2.7553048
IFAWOE_FSR,2.796858,2.8749046
VUFFAE_FSR,3.563384,3.7553368
GEWDUK_FSR,1.621963,1.7019615
NAGKAH_FSR,3.760856,2.761691
PIBSOL_FSR,3.19374,4.045063
GASSAX_FSR,3.143099,2.5544581
YOQKEX02_FSR,1.170147,2.3131278
OROKUC_FSR,2.1911460000000003,2.293012
OWABUL_FSR,0.8673849999999999,2.8541021
GAHPEN_FSR,3.3889769999999997,2.16194
COKXIL_FSR,3.054735,2.352849
WAJCAM_FSR,4.288478,3.2199519
RANPAA_FSR,3.595026,2.3438766
IMADUW_FSR,1.32635,3.2693982
MIXLAI_FSR,1.291503,2.2342784
DOYBUQ01_FSR,1.214883,2.8813026
ZOHBEF_FSR,2.859887,2.4697251
LAQNUN_FSR,2.95975,2.5518048
HICJIN_FSR,3.091319,3.0014572
PEQMOP_FSR,3.144705,2.6690137
GIXPAG_FSR,2.7370910000000004,2.5831614
MOCJAQ_FSR,3.485023,3.4515967
CASHOU_FSR,3.3593970000000004,2.0487967
FIMJIW_FSR,1.663795,2.99583
MUQVEA_FSR,3.9891229999999998,1.4690948
LOQNUC_FSR,4.194632,2.5476403
OVEJAC_FSR,1.958269,2.6075685
AHEPEK_FSR,2.561226,2.5886872
MIZYAV_FSR,0.958191,2.4004736
FIXGEZ_FSR,2.669656,2.395444
ACOLUB_FSR,3.1501910000000004,2.6142573
QOTMIW_FSR,1.585612,1.4401641
FIYQIO_FSR,4.665208,4.404725
PITMOW_FSR,2.323944,2.8226068
PEGGOY_FSR,2.888033,1.996151
VAHFAN_FSR,2.909083,3.5412395
IWOGIM_FSR,1.4442450000000002,1.9280165
EKOZUB_FSR,2.4421429999999997,2.4485087
TECVOO_FSR,3.2898250000000004,3.1461172
HIXYIY_FSR,2.769314,2.324992
QACSEU_FSR,2.7171369999999997,2.749541
SEZYOO_FSR,0.822116,2.841521
PARQEG_FSR,2.9900569999999997,3.0431776
KIHVOP_FSR,3.429868,3.0965004
MOHJOJ_FSR,2.82455,3.2780263
YICQUX_FSR,2.282605,2.3836336
