id,actval,predval
ABALOF_FSR,1.134232,0.8946339
ABAYEI_FSR,2.551117,2.4341235
ABAYIM_FSR,1.222487,1.1152968
ABAYOS01_FSR,1.3604859999999999,1.19669
ABAZAF_FSR,1.810322,1.5741493
ABECAM_FSR,2.737229,2.9410613
ABENAY_FSR,1.678626,1.4870518
ABEWUB_FSR,2.136836,1.9936068
ABEXEM_FSR,1.93495,1.954174
ABEXOW_FSR,1.899581,1.9660469
ABEXUC_FSR,1.916827,1.9821858
ABEYEN_FSR,1.9164789999999998,1.7970624
ABEYIR_FSR,1.9287070000000002,1.9062438
ABEYOX_FSR,2.46286,2.7930143
ABITUA_FSR,1.911832,1.6970713
ABIVOY_FSR,3.083551,2.890841
ABIWAL_FSR,2.6799649999999997,2.567457
ABIWEP01_FSR,4.54303,4.336002
ABIWUF_FSR,2.7864050000000002,2.6416657
ABIXAL01_FSR,2.5788279999999997,2.641629
ABIXAM_FSR,2.8473759999999997,2.4793344
ABXALA01_FSR,3.646966,3.1116095
ABZCUH01_FSR,3.1129469999999997,3.0480087
ABZCUH05_FSR,3.169765,3.0570173
ACAFIT_FSR,1.330433,1.5417261
ACATAB_FSR,0.623449,1.3890696
ACATIJ_FSR,1.4314969999999998,1.7696351
ACAZAG_FSR,3.142014,2.5495546
ACEGIA_FSR,3.782711,3.4156888
ACEGOG_FSR,3.607444,3.1772628
ACEKIE_FSR,3.346491,2.8934746
ACEKOK_FSR,2.806239,2.8314698
ACENIF_FSR,3.157609,2.7772837
ACIGEB_FSR,2.456067,2.5918543
ACIKAA_FSR,3.76444,3.4441924
ACIRIP_FSR,3.542402,3.062023
ACIROV_FSR,3.238152,3.4532204
ACISOW_FSR,3.8740010000000002,3.6330314
ACITAK_FSR,2.441578,2.3813822
ACIWUF_FSR,2.416447,2.2859824
ACIXAM_FSR,2.218181,2.2836215
ACIZIX_FSR,3.397027,3.3332057
ACOHAE_FSR,3.4296810000000004,3.0759497
ACOHEF_FSR,2.509584,2.506866
ACOMOX_FSR,2.8405590000000003,2.7215533
ACOYEY_FSR,2.902614,2.793063
ACRNCU_FSR,1.38568,1.9244058
ACUFEL_FSR,2.4734,2.4653158
ACUFIO01_FSR,3.105916,2.9404173
ACUFOU_FSR,3.13586,2.9196875
