id,actval,predval
7226496,1.118755,1.4930437
1507720,3.3351330000000003,3.021926
7215594,2.854547,3.0572233
2101963,3.1459220000000006,3.3069787
7154039,3.467795,3.6397953
1506234,4.2233350000000005,4.414962
4027311,2.044549,2.1538415
7151587,4.436907,4.1423817
1100226,4.265579,4.052532
1517440,3.02491,3.2994306
2101110,3.628589,3.9302435
7204880,3.42563,2.8690567
1508877,2.377199,2.567464
4105182,4.756951,5.0949225
4026498,3.373563,3.567795
4021728,2.113055,1.9784814
1503651,3.07836,2.952459
5000009,4.024218,3.7058916
4029009,3.851428,3.3579268
4505800,3.262693,3.2369804
4020750,2.639452,2.3719373
2015322,4.632069,4.609414
4105893,3.153258,2.9944236
4508471,3.137848,2.7595756
2213865,2.979973,2.4482646
4507988,3.196991,3.157512
4121363,2.915088,2.9176326
4028575,2.455839,2.4229157
2014887,2.510769,2.4825537
2234078,4.06955,3.7400296
4065225,2.851697,2.8049414
4067260,1.3570039999999999,1.8205795
4312367,2.868892,2.9364793
7203293,1.815351,2.4336386
1514326,3.663342,3.455807
4022345,2.111985,2.3079927
4503997,2.739157,3.030173
2001769,5.300108,5.413275
4029462,3.603418,3.1439865
7118889,6.144068000000001,6.021041
2213624,3.826669,3.8286424
7153629,2.871961,2.7888381
7052848,3.445124,3.4473863
7102158,2.359239,2.350774
2239150,3.499163,3.3713152
7220119,1.894035,2.0218406
7151577,4.570454,4.788509
4073155,3.276777,3.3753366
4025298,1.388785,1.721104
2226415,4.184077,3.8155599
7151387,2.488479,2.461965
4109988,2.725979,2.51173
4102039,3.29135,3.0934994
7221610,1.982146,2.3037698
2224930,3.397648,2.9375257
4116372,3.72521,3.948092
1513565,3.531188,3.581171
1544050,3.1977550000000003,3.347571
4030997,4.635804,4.708705
7219318,4.951791,5.004679
2205500,1.7148729999999999,2.1129858
4026881,3.517442,3.5297883
7150501,2.193471,2.2596776
1501913,3.3405220000000004,3.5104651
7203265,4.653888,4.777171
7225353,0.413794,0.55125916
1100529,2.718059,3.0432248
2003370,4.467707000000001,4.200967
2101905,4.0719080000000005,4.1435905
2101089,2.301009,2.727069
2208414,3.4235360000000004,3.425243
7150034,4.124868,3.7761364
4025552,4.602848,4.0854816
7151815,0.964325,2.167972
4021814,2.887136,3.129403
7217020,2.538273,2.6998687
2200321,3.753453,4.113232
7103002,2.236145,2.1043806
7154011,1.971778,1.6830199
4080575,3.952073,3.515172
7208905,1.745683,2.0097106
4077995,2.813317,2.8374696
2012267,3.622543,3.7154493
2213958,2.615848,2.2530801
4020302,3.390563,3.4089718
7155026,3.666658,3.8891165
7153969,3.097776,2.8845549
7202554,2.779874,2.7317321
1513458,3.175872,3.4447355
7154416,3.042078,2.5695972
4023177,3.16589,2.8182116
7053128,4.00747,3.7737856
2310123,3.3844449999999995,3.455788
2207725,2.723086,2.8681433
2211363,1.829592,2.1202006
4500396,2.004494,2.305154
4073964,3.25063,2.7608035
4025361,3.448356,2.8112454
2015077,2.797049,2.5343056
4115279,4.510354,4.4218416
4031812,3.723754,3.419217
2214759,5.411614,4.9967327
2013814,1.6296519999999999,1.9368181
2011698,2.95697,3.2572327
7109667,2.511261,2.7953265
7117482,2.7335550000000004,2.610674
4081667,2.730145,2.5603004
7053222,2.345088,2.1337261
4107817,1.421995,1.6795303
2241084,2.364401,2.8039591
4512799,3.680879,3.6184824
4509412,2.579179,2.6273499
1518263,2.517485,2.522385
4080105,2.452035,2.366642
7053095,2.184691,2.500004
7212665,3.600439,3.0323093
2203126,4.685343,4.860853
4026754,3.337676,3.3964598
1542951,4.22719,4.11826
7102897,1.947133,1.9037969
7214360,3.414969,3.2124364
2006354,3.424214,3.5628974
4069142,3.248023,3.7566817
1519905,3.536624,3.3291044
2102798,2.754252,2.829862
2227480,1.664688,1.900268
1520153,2.491042,2.3221283
2010885,3.474968,3.6129646
1507463,2.310066,3.1374018
7111201,4.397138,4.0727983
7218413,3.333452,2.8596501
2005171,4.802084,4.8363075
7212663,3.378376,2.9000719
8102103,3.609096,3.2584007
4077966,2.275719,2.3181703
7220022,3.812487,3.8603697
1513955,1.670002,1.5644813
1543389,3.446828,3.5242572
1504910,3.761254,3.9517705
7117457,3.307583,3.682967
4024226,4.017657,3.8317719
2013612,2.83061,2.9824786
1508608,3.021742,3.0717807
1511957,3.545692,3.4522204
4028375,1.982592,2.3435972
1544224,5.74054,5.2042274
4020174,2.744406,2.784489
2204130,3.1671560000000003,2.4996667
4023085,2.3509080000000004,2.605913
1516375,2.0839480000000004,2.4072726
4026407,3.367453,3.0772874
1505114,1.95291,1.9382986
2210951,2.918604,2.8373492
4020932,2.266744,2.3754017
2222226,3.005428,2.9813726
2209664,1.968294,1.9805987
1504948,2.933259,2.890443
7215124,1.889103,1.8132266
2018306,3.224465,3.1624887
4067707,2.391728,2.345082
1502975,1.496204,1.9671427
7153038,3.237523,3.3636575
2226071,1.16214,1.9577312
2209780,3.754821,3.3514993
7038911,1.995027,2.316212
7154804,3.51526,3.391945
2211174,5.089333000000001,4.547476
7154609,2.0151320000000004,2.465001
4072174,4.494008,4.4952846
9007519,2.54661,2.5736806
4077787,3.560966,3.4399996
2007153,2.754345,2.3219416
4117594,4.332093,4.2974463
2008381,3.022318,2.3337276
7118331,3.313322,3.1413808
1515617,2.901633,3.0022924
2103890,4.35358,4.4487867
4505816,2.421287,2.5105987
1543862,4.781876,4.641658
2222930,3.885136,3.3488626
7206488,3.713215,3.320355
7154331,3.06124,2.6701977
7154084,2.923562,2.8324082
7036058,2.7209710000000005,2.6094022
4071997,2.173603,1.8811357
4020603,2.589748,2.320597
1507617,4.698892000000001,4.3903933
4028256,2.308414,2.5893984
4075640,2.749002,2.6318655
7154922,3.3754790000000003,3.2086535
4505682,2.089256,2.4107769
4020664,3.604717,3.0100777
2212074,4.344851,3.7230449
1540482,3.621206,4.2316003
4325398,2.393773,2.4180903
2005354,2.761546,2.820804
4107219,3.610828,2.7751276
1506095,3.712645,3.9270463
2203109,4.294599,4.112314
2200227,2.040345,2.0813572
4085650,2.341173,2.6863432
2019898,3.391152,3.072966
2008366,2.06784,2.174481
7154766,4.135837,3.7469285
1511805,8.292258999999998,7.8286057
4101841,3.074086,2.6006289
1520159,2.758036,2.3290024
1517925,3.214151,3.4922657
2221827,4.117341,4.1092324
2218833,2.672165,2.6930318
1516081,1.075819,1.4171172
2012991,3.150116,3.0579505
2205224,5.477064,3.3835511
7117624,1.781556,1.872679
4024035,4.073456,4.243862
7154938,4.127978,3.299731
2217771,2.315047,2.8542666
1517801,3.4849270000000003,3.2150471
7216545,3.488902,3.3712993
7218782,2.761281,2.9479804
7003676,3.194559,2.9048648
4075456,2.5240530000000003,2.3712022
4069120,2.741513,2.582924
2006823,1.967824,2.1938884
4102673,3.599308,3.6630683
4335263,2.7653420000000004,2.3157587
8101221,1.25794,1.8076075
2228025,3.2459590000000005,2.4823048
2007015,3.91046,2.760889
4082698,2.612585,2.752503
7211302,1.980728,2.649349
2007914,2.320336,2.3958812
7150365,3.90323,3.9421237
2226811,3.000309,2.4059525
4513000,5.073673,4.583194
2006748,2.173609,2.2357821
4023913,2.575309,2.7972195
