cif,formula
4074437,C30 H56 Mo2 N8 O4 P4
7226496,C22 Cl8 H16 O6
1507720,C38 H34 N2 O10
7215594,C44 Cl8 H40 N8
2101963,C48 H52 N4 O8
7154039,C36 H36 N4 O8
1506234,C52 H64 O8
4027311,Br6 C42 F18 H6 N12
7151587,C24 H28 O4
2015669,C24 H32 O12
1100226,C32 H54 N2 O6
1517440,C48 H56 O12
2101110,C13 H18 N2 O7
7204880,C9 F4 H4 O1
1508877,C32 H24 N4 O6
4105182,C8 H12 O14 Sr2
4026498,C24 Cl2 H24 N2 O10
4021728,C52 H48 N12 O20
1503651,C26 H20 N4 S2
5000009,C12 H18 N6 O4
4029009,C34 H34 N6
4505800,Br6 C18 H18
1504750,C36 H44 I2 N2 O4
4020750,C40 H42 N2 O16
2015322,C16 H20 N4 O12
4105893,Br4 C52 H44 O8
4508471,C26 H24 N4 O6
2213865,C28 H20 O10
4507988,C4 H4 O8
4121363,C32 H28
4028575,Br4 C60 H52 N8 O4
2014887,C20 H16 N4 O8
2221663,Br2 C20 H22 N8
2234078,C20 H22 N2 O8
4065225,Br2 C42 H42 N8 S2
4067260,C56 Cl8 H32 N8 O24 Os4
4312367,C12 H16 O12 U2
7203293,C52 H28 N4 O8
1514326,C16 H18 N10 O4
4022345,C44 H30 N2 O2 S2
4503997,C20 F10 H8 O4
2001769,C8 H20 O24 P4
4029462,C52 Cl4 H62 O2 P2
7154629,C38 F2 H30 N6 O10 P2
7118889,C20 F16 H24
2213624,C40 H56 O12
4332494,C20 H36 N12
7153629,C48 H28 I8 N12
7052848,C14 H12 N4
7102158,C48 H42 N10 O6
2239150,C40 H36 N4 O12
7220119,C28 H32 N4 O4
7151577,C14 H20 N4 O10
4025788,C44 Cl4 H46 N4 O8
4073155,C40 F6 H42 N4 O10 S2
4025298,C36 H28 N8
2226415,C28 H60 N4 O4
7151387,C32 H28 N4 O16
4109988,C26 H22 N2
4102039,Br4 C64 H36 O6
7221610,C46 H32 N4 O4
2224930,C40 H48 N16 O4
4116372,C22 H18
1513565,C46 H72 O8 Si2
1544050,C32 H40 O28 Sr4
4030997,C40 H64 O16
7219318,C6 H15 N3 O6
2205500,Br2 C14 H14 N4
4026881,Br2 C54 H52 N2 O2
7150501,Br12 C60 H40 N4
1501913,C46 H46 N2 O12 S2
7203265,C28 Cl12 H40 O12
7225353,C24 H18 N6
1100529,C38 H42 N2 O6
2003370,B20 C22 H48 Si2
2101905,Br4 C36 H36 O12
7226238,C48 Cl4 H40 N12
2101089,C22 H22 N6 O2
2208414,C46 H60 N4
