formula,name
Ba2 C6 Cu1 H14 O16,ABACUF01_FSR_macro
C36 Cu12 H56 I16 N4 S4,ABALOF_FSR_macro
C48 Co4 H32 N8 O16,ABAVIJ_FSR_macro
C48 Co4 H32 N8 O16,ABAVOP_FSR_macro
C50 H32 N6 O8 S4 Zn2,ABAXUZ_FSR_macro
Ag6 C10 H10 N4 O12,ABAYEI_FSR_macro
Ag8 C24 H8 N8 O16,ABAYIM_FSR_macro
Ag8 C24 H16 N8 O20,ABAYOS01_FSR_macro
C104 H76 N12 O20 Zn4,ABAZAF01_FSR_macro
C104 H76 N12 O20 Zn4,ABAZAF_FSR_macro
C28 H24 N8 O12 Pb2,ABECAM_FSR_macro
Ag2 C32 H28 N10 O10,ABENAY_FSR_macro
C8 Cu4 H16 O12,ABEREH01_FSR_macro
C28 Dy4 H32 N8 O36,ABEWUB_FSR_macro
C56 H40 La8 N16 O60,ABEXEM_FSR_macro
C56 H40 N16 O60 Pr8,ABEXOW_FSR_macro
C56 H40 N16 Nd8 O60,ABEXUC_FSR_macro
C12 Cl2 Cu1 H10 N2 O4,ABEXUD_FSR_macro
C56 H40 N16 O60 Sm8,ABEYAJ_FSR_macro
C56 Eu8 H40 N16 O60,ABEYEN_FSR_macro
C56 Gd8 H40 N16 O60,ABEYIR_FSR_macro
C28 H24 La4 N8 O32,ABEYOX_FSR_macro
C36 H32 Mn2 N4 O12,ABIFAT01_FSR_macro
C36 Co2 H24 N4 S4,ABIGEZ_FSR_macro
C28 Cd2 H20 N8 S4,ABIQAE_FSR_macro
C20 H22 N10 Pb2 S4,ABITUA_FSR_macro
Ba4 C32 H48 O44 S4,ABIVOY_FSR_macro
C56 Cd2 H52 N16 O8,ABIWAL_FSR_macro
C16 Cl4 H20 In4 N4 O16,ABIWEP01_FSR_macro
C56 Cd2 H56 I4 N4 O4,ABIWUF_FSR_macro
C20 Cl4 H16 N4 Pb2,ABIXAL01_FSR_macro
C56 H56 Hg2 I4 N4 O4,ABIXAM_FSR_macro
C28 Cu4 H36 N12 O4 S4,ABOTUJ_FSR_macro
C28 Cu2 H16 N12 S4,ABOVOF_FSR_macro
C6 Cu1 H4 N4 S2,ABOVUL_FSR_macro
C20 Cu2 H24 N4 O12 S2,ABPZCU01_FSR_macro
C56 H32 Mn2 N20,ABUSOG_FSR_macro
C36 Cu3 H34 N4 O12,ABUXUT_FSR_macro
C40 H44 La2 Na2 O30,ABXALA01_FSR_macro
